Src,10.0.0.1,10.0.0.2,10.0.0.3,10.0.0.4,10.123.123.123,10.46.42.1,10.46.42.3
10.0.0.1,0.0,0.0,0.0,0.0,231917308.0,159878816.0,91516220.0
10.0.0.2,0.0,0.0,0.0,0.0,226848450.0,135716694.0,116995420.0
10.0.0.3,0.0,0.0,0.0,0.0,49085028.0,162096874.0,124523370.0
10.0.0.4,0.0,0.0,0.0,0.0,146966646.0,251769960.0,57165710.0
10.123.123.123,5207222.0,5207002.0,1119744.0,3382628.0,0.0,0.0,0.0
10.46.42.1,3497170.0,3075672.0,3663888.0,5598722.0,0.0,0.0,0.0
10.46.42.3,2074344.0,2805454.0,2853742.0,1335376.0,0.0,0.0,0.0
