Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,1738,4647476,113
10.46.42.1,10.0.0.1,2,132,113
10.46.42.1,10.0.0.1,797,54210,113
10.0.0.1,10.123.123.123,2141,5710074,106
10.123.123.123,10.0.0.1,2,132,106
10.123.123.123,10.0.0.1,1009,69102,106
10.0.0.4,10.123.123.123,1230,3255876,98
10.123.123.123,10.0.0.4,2,132,98
10.123.123.123,10.0.0.4,1095,76462,98
10.0.0.2,10.46.42.1,1121,3001026,90
10.46.42.1,10.0.0.2,3,206,90
10.46.42.1,10.0.0.2,1011,68674,88
10.0.0.4,10.46.42.1,2559,7035342,81
10.46.42.1,10.0.0.4,2,132,81
10.46.42.1,10.0.0.4,1305,88370,81
10.0.0.1,10.46.42.3,930,2453988,74
10.46.42.3,10.0.0.1,3,198,74
10.46.42.3,10.0.0.1,820,56040,74
10.0.0.3,10.46.42.1,2095,5567270,68
10.46.42.1,10.0.0.3,2,132,68
10.46.42.1,10.0.0.3,883,60142,68
10.0.0.2,10.123.123.123,2478,6659964,60
10.123.123.123,10.0.0.2,2,132,60
10.123.123.123,10.0.0.2,1404,96592,60
10.0.0.2,10.46.42.3,1269,3270034,51
10.46.42.3,10.0.0.2,2,132,51
10.46.42.3,10.0.0.2,1147,80094,51
10.123.123.123,10.0.0.1,3,206,43
10.123.123.123,10.0.0.1,882,59840,43
10.46.42.1,10.0.0.4,3,198,35
10.46.42.1,10.0.0.4,1023,69270,35
10.0.0.3,10.46.42.3,1260,3383136,26
10.46.42.3,10.0.0.3,2,132,26
10.46.42.3,10.0.0.3,1166,79648,26
10.123.123.123,10.0.0.2,4,280,20
10.123.123.123,10.0.0.2,852,58012,17
10.46.42.1,10.0.0.3,2,132,11
10.46.42.1,10.0.0.3,980,66568,11
10.46.42.1,10.0.0.1,2,132,4
10.46.42.1,10.0.0.1,712,48332,4
N/A,N/A,83,4798,114
