Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,183
10.46.42.1,10.0.0.1,2,132,183
10.46.42.1,10.0.0.1,797,54210,183
10.0.0.1,10.123.123.123,3298,8834412,176
10.123.123.123,10.0.0.1,2,132,176
10.123.123.123,10.0.0.1,1009,69102,176
10.0.0.4,10.123.123.123,2427,6616062,168
10.123.123.123,10.0.0.4,2,132,168
10.123.123.123,10.0.0.4,1095,76462,168
10.0.0.2,10.46.42.1,2137,5722850,160
10.46.42.1,10.0.0.2,3,206,160
10.46.42.1,10.0.0.2,1011,68674,158
10.0.0.4,10.46.42.1,3695,10153950,151
10.46.42.1,10.0.0.4,2,132,151
10.46.42.1,10.0.0.4,1305,88370,151
10.0.0.1,10.46.42.3,930,2453988,144
10.46.42.3,10.0.0.1,3,198,144
10.46.42.3,10.0.0.1,820,56040,144
10.0.0.3,10.46.42.1,3095,8282238,138
10.46.42.1,10.0.0.3,2,132,138
10.46.42.1,10.0.0.3,883,60142,138
10.0.0.2,10.123.123.123,3520,9501544,130
10.123.123.123,10.0.0.2,2,132,130
10.123.123.123,10.0.0.2,1404,96592,130
10.0.0.2,10.46.42.3,2336,6120504,122
10.46.42.3,10.0.0.2,2,132,121
10.46.42.3,10.0.0.2,1147,80094,121
10.123.123.123,10.0.0.1,3,206,113
10.123.123.123,10.0.0.1,882,59840,113
10.46.42.1,10.0.0.4,3,198,105
10.46.42.1,10.0.0.4,1023,69270,105
10.0.0.3,10.46.42.3,2269,6098698,96
10.46.42.3,10.0.0.3,2,132,96
10.46.42.3,10.0.0.3,1166,79648,96
10.123.123.123,10.0.0.2,4,280,90
10.123.123.123,10.0.0.2,852,58012,87
10.46.42.1,10.0.0.3,2,132,81
10.46.42.1,10.0.0.3,980,66568,81
10.46.42.1,10.0.0.1,2,132,74
10.46.42.1,10.0.0.1,975,66234,74
10.0.0.3,10.123.123.123,1035,2715822,67
10.123.123.123,10.0.0.3,2,132,67
10.123.123.123,10.0.0.3,916,62340,67
10.123.123.123,10.0.0.2,3,206,61
10.123.123.123,10.0.0.2,935,63390,60
10.46.42.3,10.0.0.3,2,132,54
10.46.42.3,10.0.0.3,895,60790,54
10.0.0.4,10.46.42.3,1503,4061774,47
10.46.42.3,10.0.0.4,2,132,47
10.46.42.3,10.0.0.4,1402,95852,47
10.123.123.123,10.0.0.1,2,132,40
10.123.123.123,10.0.0.1,1024,69504,40
10.46.42.1,10.0.0.4,2,132,33
10.46.42.1,10.0.0.4,1022,69240,33
10.46.42.1,10.0.0.2,2,132,27
10.46.42.1,10.0.0.2,890,60396,26
10.46.42.3,10.0.0.2,3,198,17
10.46.42.3,10.0.0.2,944,63968,17
10.46.42.1,10.0.0.3,2,132,11
10.46.42.1,10.0.0.3,886,60140,11
10.123.123.123,10.0.0.4,2,132,4
10.123.123.123,10.0.0.4,1105,74426,4
N/A,N/A,127,7382,184
