Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,93
10.46.42.1,10.0.0.1,2,132,93
10.46.42.1,10.0.0.1,789,53670,93
10.0.0.1,10.123.123.123,2164,5770960,86
10.123.123.123,10.0.0.1,2,132,86
10.123.123.123,10.0.0.1,1001,68574,86
10.0.0.4,10.123.123.123,1248,3297608,78
10.123.123.123,10.0.0.4,2,132,78
10.123.123.123,10.0.0.4,1078,75256,78
10.0.0.2,10.46.42.1,1128,3020312,70
10.46.42.1,10.0.0.2,3,206,70
10.46.42.1,10.0.0.2,1006,68308,68
10.0.0.4,10.46.42.1,2581,7100506,61
10.46.42.1,10.0.0.4,2,132,61
10.46.42.1,10.0.0.4,1291,87410,61
10.0.0.1,10.46.42.3,943,2488150,54
10.46.42.3,10.0.0.1,3,198,54
10.46.42.3,10.0.0.1,813,55566,54
10.0.0.3,10.46.42.1,1000,2611400,48
10.46.42.1,10.0.0.3,2,132,48
10.46.42.1,10.0.0.3,871,59314,48
10.0.0.2,10.123.123.123,1526,4118324,40
10.123.123.123,10.0.0.2,2,132,40
10.123.123.123,10.0.0.2,1390,95636,40
10.0.0.2,10.46.42.3,1281,3299786,31
10.46.42.3,10.0.0.2,2,132,31
10.46.42.3,10.0.0.2,1133,79170,31
10.123.123.123,10.0.0.1,3,206,23
10.123.123.123,10.0.0.1,873,59234,23
10.46.42.1,10.0.0.4,2,132,15
10.46.42.1,10.0.0.4,1014,68676,15
10.0.0.3,10.46.42.3,1277,3427706,7
10.46.42.3,10.0.0.3,2,132,6
10.46.42.3,10.0.0.3,1153,78778,6
N/A,N/A,74,4228,94
