Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,153
10.46.42.1,10.0.0.1,2,132,153
10.46.42.1,10.0.0.1,789,53670,153
10.0.0.1,10.123.123.123,3331,8923470,146
10.123.123.123,10.0.0.1,2,132,146
10.123.123.123,10.0.0.1,1001,68574,146
10.0.0.4,10.123.123.123,1248,3297608,138
10.123.123.123,10.0.0.4,2,132,138
10.123.123.123,10.0.0.4,1078,75256,138
10.0.0.2,10.46.42.1,1128,3020312,130
10.46.42.1,10.0.0.2,3,206,130
10.46.42.1,10.0.0.2,1006,68308,128
10.0.0.4,10.46.42.1,3189,8773994,121
10.46.42.1,10.0.0.4,2,132,121
10.46.42.1,10.0.0.4,1291,87410,121
10.0.0.1,10.46.42.3,943,2488150,114
10.46.42.3,10.0.0.1,3,198,114
10.46.42.3,10.0.0.1,813,55566,114
10.0.0.3,10.46.42.1,2117,5623746,108
10.46.42.1,10.0.0.3,2,132,108
10.46.42.1,10.0.0.3,871,59314,108
10.0.0.2,10.123.123.123,3553,9592050,100
10.123.123.123,10.0.0.2,2,132,100
10.123.123.123,10.0.0.2,1390,95636,100
10.0.0.2,10.46.42.3,1281,3299786,91
10.46.42.3,10.0.0.2,2,132,91
10.46.42.3,10.0.0.2,1133,79170,91
10.123.123.123,10.0.0.1,3,206,83
10.123.123.123,10.0.0.1,873,59234,83
10.46.42.1,10.0.0.4,2,132,75
10.46.42.1,10.0.0.4,1014,68676,75
10.0.0.3,10.46.42.3,2297,6172954,67
10.46.42.3,10.0.0.3,2,132,66
10.46.42.3,10.0.0.3,1153,78778,66
10.123.123.123,10.0.0.2,4,280,57
10.123.123.123,10.0.0.2,843,57418,57
10.46.42.1,10.0.0.3,2,132,51
10.46.42.1,10.0.0.3,973,66106,51
10.46.42.1,10.0.0.1,2,132,44
10.46.42.1,10.0.0.1,960,65208,44
10.0.0.3,10.123.123.123,1043,2738070,37
10.123.123.123,10.0.0.3,2,132,37
10.123.123.123,10.0.0.3,908,61812,37
10.123.123.123,10.0.0.2,3,206,31
10.123.123.123,10.0.0.2,923,62574,30
10.46.42.3,10.0.0.3,2,132,24
10.46.42.3,10.0.0.3,886,60160,24
10.0.0.4,10.46.42.3,1518,4104756,17
10.46.42.3,10.0.0.4,2,132,17
10.46.42.3,10.0.0.4,1384,94652,17
10.123.123.123,10.0.0.1,2,132,10
10.123.123.123,10.0.0.1,1013,68754,10
10.46.42.1,10.0.0.4,2,132,3
10.46.42.1,10.0.0.4,543,36738,2
N/A,N/A,116,6632,154
