Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,63
10.46.42.1,10.0.0.1,2,132,63
10.46.42.1,10.0.0.1,797,54210,63
10.0.0.1,10.123.123.123,1128,2987000,56
10.123.123.123,10.0.0.1,2,132,56
10.123.123.123,10.0.0.1,1009,69102,56
10.0.0.4,10.123.123.123,1230,3255876,48
10.123.123.123,10.0.0.4,2,132,48
10.123.123.123,10.0.0.4,1095,76462,48
10.0.0.2,10.46.42.1,1121,3001026,40
10.46.42.1,10.0.0.2,3,206,40
10.46.42.1,10.0.0.2,1011,68674,38
10.0.0.4,10.46.42.1,1419,3916470,31
10.46.42.1,10.0.0.4,2,132,31
10.46.42.1,10.0.0.4,1305,88370,31
10.0.0.1,10.46.42.3,930,2453988,24
10.46.42.3,10.0.0.1,3,198,24
10.46.42.3,10.0.0.1,820,56040,24
10.0.0.3,10.46.42.1,991,2587638,18
10.46.42.1,10.0.0.3,2,132,18
10.46.42.1,10.0.0.3,883,60142,18
10.0.0.2,10.123.123.123,1509,4072306,10
10.123.123.123,10.0.0.2,2,132,10
10.123.123.123,10.0.0.2,1404,96592,10
10.0.0.2,10.46.42.3,452,1059368,1
10.46.42.3,10.0.0.2,2,132,1
10.46.42.3,10.0.0.2,424,31040,1
N/A,N/A,60,3384,64
