Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,43
10.46.42.1,10.0.0.1,2,132,43
10.46.42.1,10.0.0.1,789,53670,43
10.0.0.1,10.123.123.123,1141,3022610,36
10.123.123.123,10.0.0.1,2,132,36
10.123.123.123,10.0.0.1,1001,68574,36
10.0.0.4,10.123.123.123,1248,3297608,28
10.123.123.123,10.0.0.4,2,132,28
10.123.123.123,10.0.0.4,1078,75256,28
10.0.0.2,10.46.42.1,1128,3020312,20
10.46.42.1,10.0.0.2,3,206,20
10.46.42.1,10.0.0.2,1006,68308,18
10.0.0.4,10.46.42.1,1430,3949052,11
10.46.42.1,10.0.0.4,2,132,11
10.46.42.1,10.0.0.4,1291,87410,11
10.0.0.1,10.46.42.3,814,2159124,4
10.46.42.3,10.0.0.1,3,198,4
10.46.42.3,10.0.0.1,697,47586,4
N/A,N/A,40,2256,44
