Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,193
10.46.42.1,10.0.0.1,2,132,193
10.46.42.1,10.0.0.1,789,53670,193
10.0.0.1,10.123.123.123,3331,8923470,186
10.123.123.123,10.0.0.1,2,132,186
10.123.123.123,10.0.0.1,1001,68574,186
10.0.0.4,10.123.123.123,2661,7238306,178
10.123.123.123,10.0.0.4,2,132,178
10.123.123.123,10.0.0.4,1078,75256,178
10.0.0.2,10.46.42.1,2153,5765010,170
10.46.42.1,10.0.0.2,3,206,170
10.46.42.1,10.0.0.2,1006,68308,168
10.0.0.4,10.46.42.1,3728,10247352,161
10.46.42.1,10.0.0.4,2,132,161
10.46.42.1,10.0.0.4,1291,87410,161
10.0.0.1,10.46.42.3,1750,4533572,154
10.46.42.3,10.0.0.1,3,198,154
10.46.42.3,10.0.0.1,813,55566,154
10.0.0.3,10.46.42.1,3127,8366886,148
10.46.42.1,10.0.0.3,2,132,148
10.46.42.1,10.0.0.3,871,59314,148
10.0.0.2,10.123.123.123,3553,9592050,140
10.123.123.123,10.0.0.2,2,132,140
10.123.123.123,10.0.0.2,1390,95636,140
10.0.0.2,10.46.42.3,2357,6169674,132
10.46.42.3,10.0.0.2,2,132,131
10.46.42.3,10.0.0.2,1133,79170,131
10.123.123.123,10.0.0.1,3,206,123
10.123.123.123,10.0.0.1,873,59234,123
10.46.42.1,10.0.0.4,2,132,115
10.46.42.1,10.0.0.4,1014,68676,115
10.0.0.3,10.46.42.3,2297,6172954,107
10.46.42.3,10.0.0.3,2,132,106
10.46.42.3,10.0.0.3,1153,78778,106
10.123.123.123,10.0.0.2,4,280,97
10.123.123.123,10.0.0.2,843,57418,97
10.46.42.1,10.0.0.3,2,132,91
10.46.42.1,10.0.0.3,973,66106,91
10.46.42.1,10.0.0.1,2,132,84
10.46.42.1,10.0.0.1,960,65208,84
10.0.0.3,10.123.123.123,1043,2738070,77
10.123.123.123,10.0.0.3,2,132,77
10.123.123.123,10.0.0.3,908,61812,77
10.123.123.123,10.0.0.2,3,206,71
10.123.123.123,10.0.0.2,923,62574,70
10.46.42.3,10.0.0.3,2,132,64
10.46.42.3,10.0.0.3,886,60160,64
10.0.0.4,10.46.42.3,1518,4104756,57
10.46.42.3,10.0.0.4,2,132,57
10.46.42.3,10.0.0.4,1384,94652,57
10.123.123.123,10.0.0.1,2,132,50
10.123.123.123,10.0.0.1,1013,68754,50
10.46.42.1,10.0.0.4,2,132,43
10.46.42.1,10.0.0.4,1010,68412,43
10.46.42.1,10.0.0.2,2,132,37
10.46.42.1,10.0.0.2,882,59856,36
10.46.42.3,10.0.0.2,4,272,27
10.46.42.3,10.0.0.2,931,63074,27
10.46.42.1,10.0.0.3,2,132,21
10.46.42.1,10.0.0.3,881,59786,21
10.123.123.123,10.0.0.4,2,132,14
10.123.123.123,10.0.0.4,1275,86114,14
10.46.42.3,10.0.0.1,2,132,7
10.46.42.3,10.0.0.1,675,46182,7
N/A,N/A,136,7792,194
