Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,123
10.46.42.1,10.0.0.1,2,132,123
10.46.42.1,10.0.0.1,797,54210,123
10.0.0.1,10.123.123.123,2141,5710074,116
10.123.123.123,10.0.0.1,2,132,116
10.123.123.123,10.0.0.1,1009,69102,116
10.0.0.4,10.123.123.123,1230,3255876,108
10.123.123.123,10.0.0.4,2,132,108
10.123.123.123,10.0.0.4,1095,76462,108
10.0.0.2,10.46.42.1,1121,3001026,100
10.46.42.1,10.0.0.2,3,206,100
10.46.42.1,10.0.0.2,1011,68674,98
10.0.0.4,10.46.42.1,2559,7035342,91
10.46.42.1,10.0.0.4,2,132,91
10.46.42.1,10.0.0.4,1305,88370,91
10.0.0.1,10.46.42.3,930,2453988,84
10.46.42.3,10.0.0.1,3,198,84
10.46.42.3,10.0.0.1,820,56040,84
10.0.0.3,10.46.42.1,2095,5567270,78
10.46.42.1,10.0.0.3,2,132,78
10.46.42.1,10.0.0.3,883,60142,78
10.0.0.2,10.123.123.123,2483,6660318,70
10.123.123.123,10.0.0.2,2,132,70
10.123.123.123,10.0.0.2,1404,96592,70
10.0.0.2,10.46.42.3,1269,3270034,61
10.46.42.3,10.0.0.2,2,132,61
10.46.42.3,10.0.0.2,1147,80094,61
10.123.123.123,10.0.0.1,3,206,53
10.123.123.123,10.0.0.1,882,59840,53
10.46.42.1,10.0.0.4,3,198,45
10.46.42.1,10.0.0.4,1023,69270,45
10.0.0.3,10.46.42.3,1260,3383136,36
10.46.42.3,10.0.0.3,2,132,36
10.46.42.3,10.0.0.3,1166,79648,36
10.123.123.123,10.0.0.2,4,280,30
10.123.123.123,10.0.0.2,852,58012,27
10.46.42.1,10.0.0.3,2,132,21
10.46.42.1,10.0.0.3,980,66568,21
10.46.42.1,10.0.0.1,2,132,14
10.46.42.1,10.0.0.1,975,66234,14
10.0.0.3,10.123.123.123,1035,2715822,7
10.123.123.123,10.0.0.3,2,132,7
10.123.123.123,10.0.0.3,916,62340,7
10.123.123.123,10.0.0.2,2,140,1
10.123.123.123,10.0.0.2,1,66,0
N/A,N/A,96,5504,124
