Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,1755,4693486,113
10.46.42.1,10.0.0.1,2,132,113
10.46.42.1,10.0.0.1,789,53670,113
10.0.0.1,10.123.123.123,2164,5770960,106
10.123.123.123,10.0.0.1,2,132,106
10.123.123.123,10.0.0.1,1001,68574,106
10.0.0.4,10.123.123.123,1248,3297608,98
10.123.123.123,10.0.0.4,2,132,98
10.123.123.123,10.0.0.4,1078,75256,98
10.0.0.2,10.46.42.1,1128,3020312,90
10.46.42.1,10.0.0.2,3,206,90
10.46.42.1,10.0.0.2,1006,68308,88
10.0.0.4,10.46.42.1,2581,7100506,81
10.46.42.1,10.0.0.4,2,132,81
10.46.42.1,10.0.0.4,1291,87410,81
10.0.0.1,10.46.42.3,943,2488150,74
10.46.42.3,10.0.0.1,3,198,74
10.46.42.3,10.0.0.1,813,55566,74
10.0.0.3,10.46.42.1,2117,5623746,68
10.46.42.1,10.0.0.3,2,132,68
10.46.42.1,10.0.0.3,871,59314,68
10.0.0.2,10.123.123.123,2500,6722232,60
10.123.123.123,10.0.0.2,2,132,60
10.123.123.123,10.0.0.2,1390,95636,60
10.0.0.2,10.46.42.3,1281,3299786,51
10.46.42.3,10.0.0.2,2,132,51
10.46.42.3,10.0.0.2,1133,79170,51
10.123.123.123,10.0.0.1,3,206,43
10.123.123.123,10.0.0.1,873,59234,43
10.46.42.1,10.0.0.4,2,132,35
10.46.42.1,10.0.0.4,1014,68676,35
10.0.0.3,10.46.42.3,1277,3427706,27
10.46.42.3,10.0.0.3,2,132,26
10.46.42.3,10.0.0.3,1153,78778,26
10.123.123.123,10.0.0.2,4,280,17
10.123.123.123,10.0.0.2,843,57418,17
10.46.42.1,10.0.0.3,2,132,11
10.46.42.1,10.0.0.3,973,66106,11
10.46.42.1,10.0.0.1,2,132,4
10.46.42.1,10.0.0.1,700,47516,4
N/A,N/A,84,4840,114
