Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,53
10.46.42.1,10.0.0.1,2,132,53
10.46.42.1,10.0.0.1,789,53670,53
10.0.0.1,10.123.123.123,1141,3022610,46
10.123.123.123,10.0.0.1,2,132,46
10.123.123.123,10.0.0.1,1001,68574,46
10.0.0.4,10.123.123.123,1248,3297608,38
10.123.123.123,10.0.0.4,2,132,38
10.123.123.123,10.0.0.4,1078,75256,38
10.0.0.2,10.46.42.1,1128,3020312,30
10.46.42.1,10.0.0.2,3,206,30
10.46.42.1,10.0.0.2,1006,68308,28
10.0.0.4,10.46.42.1,1430,3949052,21
10.46.42.1,10.0.0.4,2,132,21
10.46.42.1,10.0.0.4,1291,87410,21
10.0.0.1,10.46.42.3,943,2488150,14
10.46.42.3,10.0.0.1,3,198,14
10.46.42.3,10.0.0.1,813,55566,14
10.0.0.3,10.46.42.1,1000,2611400,8
10.46.42.1,10.0.0.3,2,132,8
10.46.42.1,10.0.0.3,871,59314,8
10.0.0.2,10.123.123.123,243,601038,0
10.123.123.123,10.0.0.2,2,132,0
10.123.123.123,10.0.0.2,216,16008,0
N/A,N/A,54,3036,54
