Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,103
10.46.42.1,10.0.0.1,2,132,103
10.46.42.1,10.0.0.1,797,54210,103
10.0.0.1,10.123.123.123,2141,5710074,96
10.123.123.123,10.0.0.1,2,132,96
10.123.123.123,10.0.0.1,1009,69102,96
10.0.0.4,10.123.123.123,1230,3255876,88
10.123.123.123,10.0.0.4,2,132,88
10.123.123.123,10.0.0.4,1095,76462,88
10.0.0.2,10.46.42.1,1121,3001026,80
10.46.42.1,10.0.0.2,3,206,80
10.46.42.1,10.0.0.2,1011,68674,78
10.0.0.4,10.46.42.1,2559,7035342,71
10.46.42.1,10.0.0.4,2,132,71
10.46.42.1,10.0.0.4,1305,88370,71
10.0.0.1,10.46.42.3,930,2453988,64
10.46.42.3,10.0.0.1,3,198,64
10.46.42.3,10.0.0.1,820,56040,64
10.0.0.3,10.46.42.1,1268,3300976,58
10.46.42.1,10.0.0.3,2,132,58
10.46.42.1,10.0.0.3,883,60142,58
10.0.0.2,10.123.123.123,2477,6659898,50
10.123.123.123,10.0.0.2,2,132,50
10.123.123.123,10.0.0.2,1404,96592,50
10.0.0.2,10.46.42.3,1269,3270034,41
10.46.42.3,10.0.0.2,2,132,41
10.46.42.3,10.0.0.2,1147,80094,41
10.123.123.123,10.0.0.1,3,206,33
10.123.123.123,10.0.0.1,882,59840,33
10.46.42.1,10.0.0.4,3,198,25
10.46.42.1,10.0.0.4,1023,69270,25
10.0.0.3,10.46.42.3,1260,3383136,16
10.46.42.3,10.0.0.3,2,132,16
10.46.42.3,10.0.0.3,1166,79648,16
10.123.123.123,10.0.0.2,4,280,10
10.123.123.123,10.0.0.2,851,57946,7
10.46.42.1,10.0.0.3,2,132,1
10.46.42.1,10.0.0.3,233,15982,1
N/A,N/A,78,4524,104
