Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,43
10.46.42.1,10.0.0.1,2,132,43
10.46.42.1,10.0.0.1,797,54210,43
10.0.0.1,10.123.123.123,1128,2987000,36
10.123.123.123,10.0.0.1,2,132,36
10.123.123.123,10.0.0.1,1009,69102,36
10.0.0.4,10.123.123.123,1230,3255876,28
10.123.123.123,10.0.0.4,2,132,28
10.123.123.123,10.0.0.4,1095,76462,28
10.0.0.2,10.46.42.1,1121,3001026,20
10.46.42.1,10.0.0.2,3,206,20
10.46.42.1,10.0.0.2,1011,68674,18
10.0.0.4,10.46.42.1,1419,3916470,11
10.46.42.1,10.0.0.4,2,132,11
10.46.42.1,10.0.0.4,1305,88370,11
10.0.0.1,10.46.42.3,802,2127924,4
10.46.42.3,10.0.0.1,3,198,4
10.46.42.3,10.0.0.1,705,48126,4
N/A,N/A,40,2256,44
