Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,83
10.46.42.1,10.0.0.1,2,132,83
10.46.42.1,10.0.0.1,789,53670,83
10.0.0.1,10.123.123.123,2164,5770960,76
10.123.123.123,10.0.0.1,2,132,76
10.123.123.123,10.0.0.1,1001,68574,76
10.0.0.4,10.123.123.123,1248,3297608,68
10.123.123.123,10.0.0.4,2,132,68
10.123.123.123,10.0.0.4,1078,75256,68
10.0.0.2,10.46.42.1,1128,3020312,60
10.46.42.1,10.0.0.2,3,206,60
10.46.42.1,10.0.0.2,1006,68308,58
10.0.0.4,10.46.42.1,2581,7100506,51
10.46.42.1,10.0.0.4,2,132,51
10.46.42.1,10.0.0.4,1291,87410,51
10.0.0.1,10.46.42.3,943,2488150,44
10.46.42.3,10.0.0.1,3,198,44
10.46.42.3,10.0.0.1,813,55566,44
10.0.0.3,10.46.42.1,1000,2611400,38
10.46.42.1,10.0.0.3,2,132,38
10.46.42.1,10.0.0.3,871,59314,38
10.0.0.2,10.123.123.123,1525,4118250,30
10.123.123.123,10.0.0.2,2,132,30
10.123.123.123,10.0.0.2,1390,95636,30
10.0.0.2,10.46.42.3,1281,3299786,21
10.46.42.3,10.0.0.2,2,132,21
10.46.42.3,10.0.0.2,1133,79170,21
10.123.123.123,10.0.0.1,3,206,13
10.123.123.123,10.0.0.1,873,59234,13
10.46.42.1,10.0.0.4,2,132,5
10.46.42.1,10.0.0.4,1014,68676,5
N/A,N/A,66,3764,84
