Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,123
10.46.42.1,10.0.0.1,2,132,123
10.46.42.1,10.0.0.1,789,53670,123
10.0.0.1,10.123.123.123,2164,5770960,116
10.123.123.123,10.0.0.1,2,132,116
10.123.123.123,10.0.0.1,1001,68574,116
10.0.0.4,10.123.123.123,1248,3297608,108
10.123.123.123,10.0.0.4,2,132,108
10.123.123.123,10.0.0.4,1078,75256,108
10.0.0.2,10.46.42.1,1128,3020312,100
10.46.42.1,10.0.0.2,3,206,100
10.46.42.1,10.0.0.2,1006,68308,98
10.0.0.4,10.46.42.1,2581,7100506,91
10.46.42.1,10.0.0.4,2,132,91
10.46.42.1,10.0.0.4,1291,87410,91
10.0.0.1,10.46.42.3,943,2488150,84
10.46.42.3,10.0.0.1,3,198,84
10.46.42.3,10.0.0.1,813,55566,84
10.0.0.3,10.46.42.1,2117,5623746,78
10.46.42.1,10.0.0.3,2,132,78
10.46.42.1,10.0.0.3,871,59314,78
10.0.0.2,10.123.123.123,2505,6722586,70
10.123.123.123,10.0.0.2,2,132,70
10.123.123.123,10.0.0.2,1390,95636,70
10.0.0.2,10.46.42.3,1281,3299786,61
10.46.42.3,10.0.0.2,2,132,61
10.46.42.3,10.0.0.2,1133,79170,61
10.123.123.123,10.0.0.1,3,206,53
10.123.123.123,10.0.0.1,873,59234,53
10.46.42.1,10.0.0.4,2,132,45
10.46.42.1,10.0.0.4,1014,68676,45
10.0.0.3,10.46.42.3,1277,3427706,37
10.46.42.3,10.0.0.3,2,132,36
10.46.42.3,10.0.0.3,1153,78778,36
10.123.123.123,10.0.0.2,4,280,27
10.123.123.123,10.0.0.2,843,57418,27
10.46.42.1,10.0.0.3,2,132,21
10.46.42.1,10.0.0.3,973,66106,21
10.46.42.1,10.0.0.1,2,132,14
10.46.42.1,10.0.0.1,960,65208,14
10.0.0.3,10.123.123.123,1043,2738070,7
10.123.123.123,10.0.0.3,2,132,7
10.123.123.123,10.0.0.3,908,61812,7
10.123.123.123,10.0.0.2,2,140,1
10.123.123.123,10.0.0.2,1,66,0
N/A,N/A,97,5546,124
