Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,63
10.46.42.1,10.0.0.1,2,132,63
10.46.42.1,10.0.0.1,789,53670,63
10.0.0.1,10.123.123.123,1141,3022610,56
10.123.123.123,10.0.0.1,2,132,56
10.123.123.123,10.0.0.1,1001,68574,56
10.0.0.4,10.123.123.123,1248,3297608,48
10.123.123.123,10.0.0.4,2,132,48
10.123.123.123,10.0.0.4,1078,75256,48
10.0.0.2,10.46.42.1,1128,3020312,40
10.46.42.1,10.0.0.2,3,206,40
10.46.42.1,10.0.0.2,1006,68308,38
10.0.0.4,10.46.42.1,1430,3949052,31
10.46.42.1,10.0.0.4,2,132,31
10.46.42.1,10.0.0.4,1291,87410,31
10.0.0.1,10.46.42.3,943,2488150,24
10.46.42.3,10.0.0.1,3,198,24
10.46.42.3,10.0.0.1,813,55566,24
10.0.0.3,10.46.42.1,1000,2611400,18
10.46.42.1,10.0.0.3,2,132,18
10.46.42.1,10.0.0.3,871,59314,18
10.0.0.2,10.123.123.123,1525,4118250,10
10.123.123.123,10.0.0.2,2,132,10
10.123.123.123,10.0.0.2,1390,95636,10
10.0.0.2,10.46.42.3,458,1077140,1
10.46.42.3,10.0.0.2,2,132,1
10.46.42.3,10.0.0.2,419,30710,1
N/A,N/A,60,3384,64
