Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,33
10.46.42.1,10.0.0.1,2,132,33
10.46.42.1,10.0.0.1,789,53670,33
10.0.0.1,10.123.123.123,1141,3022610,26
10.123.123.123,10.0.0.1,2,132,26
10.123.123.123,10.0.0.1,1001,68574,26
10.0.0.4,10.123.123.123,1248,3297608,18
10.123.123.123,10.0.0.4,2,132,18
10.123.123.123,10.0.0.4,1078,75256,18
10.0.0.2,10.46.42.1,1128,3020312,10
10.46.42.1,10.0.0.2,3,206,10
10.46.42.1,10.0.0.2,1006,68308,8
10.0.0.4,10.46.42.1,353,947130,1
10.46.42.1,10.0.0.4,2,132,1
10.46.42.1,10.0.0.4,323,22026,1
N/A,N/A,33,1866,34
