Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,153
10.46.42.1,10.0.0.1,2,132,153
10.46.42.1,10.0.0.1,797,54210,153
10.0.0.1,10.123.123.123,3298,8834412,146
10.123.123.123,10.0.0.1,2,132,146
10.123.123.123,10.0.0.1,1009,69102,146
10.0.0.4,10.123.123.123,1230,3255876,138
10.123.123.123,10.0.0.4,2,132,138
10.123.123.123,10.0.0.4,1095,76462,138
10.0.0.2,10.46.42.1,1121,3001026,130
10.46.42.1,10.0.0.2,3,206,130
10.46.42.1,10.0.0.2,1011,68674,128
10.0.0.4,10.46.42.1,3163,8696982,121
10.46.42.1,10.0.0.4,2,132,121
10.46.42.1,10.0.0.4,1305,88370,121
10.0.0.1,10.46.42.3,930,2453988,114
10.46.42.3,10.0.0.1,3,198,114
10.46.42.3,10.0.0.1,820,56040,114
10.0.0.3,10.46.42.1,2095,5567270,108
10.46.42.1,10.0.0.3,2,132,108
10.46.42.1,10.0.0.3,883,60142,108
10.0.0.2,10.123.123.123,3520,9501544,100
10.123.123.123,10.0.0.2,2,132,100
10.123.123.123,10.0.0.2,1404,96592,100
10.0.0.2,10.46.42.3,1269,3270034,91
10.46.42.3,10.0.0.2,2,132,91
10.46.42.3,10.0.0.2,1147,80094,91
10.123.123.123,10.0.0.1,3,206,83
10.123.123.123,10.0.0.1,882,59840,83
10.46.42.1,10.0.0.4,3,198,75
10.46.42.1,10.0.0.4,1023,69270,75
10.0.0.3,10.46.42.3,2269,6098698,66
10.46.42.3,10.0.0.3,2,132,66
10.46.42.3,10.0.0.3,1166,79648,66
10.123.123.123,10.0.0.2,4,280,60
10.123.123.123,10.0.0.2,852,58012,57
10.46.42.1,10.0.0.3,2,132,51
10.46.42.1,10.0.0.3,980,66568,51
10.46.42.1,10.0.0.1,2,132,44
10.46.42.1,10.0.0.1,975,66234,44
10.0.0.3,10.123.123.123,1035,2715822,37
10.123.123.123,10.0.0.3,2,132,37
10.123.123.123,10.0.0.3,916,62340,37
10.123.123.123,10.0.0.2,3,206,31
10.123.123.123,10.0.0.2,935,63390,30
10.46.42.3,10.0.0.3,2,132,24
10.46.42.3,10.0.0.3,895,60790,24
10.0.0.4,10.46.42.3,1503,4061774,17
10.46.42.3,10.0.0.4,2,132,17
10.46.42.3,10.0.0.4,1402,95852,17
10.123.123.123,10.0.0.1,2,132,10
10.123.123.123,10.0.0.1,1024,69504,10
10.46.42.1,10.0.0.4,2,132,3
10.46.42.1,10.0.0.4,549,37146,2
N/A,N/A,115,6590,154
