Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,133
10.46.42.1,10.0.0.1,2,132,133
10.46.42.1,10.0.0.1,789,53670,133
10.0.0.1,10.123.123.123,2164,5770960,126
10.123.123.123,10.0.0.1,2,132,126
10.123.123.123,10.0.0.1,1001,68574,126
10.0.0.4,10.123.123.123,1248,3297608,118
10.123.123.123,10.0.0.4,2,132,118
10.123.123.123,10.0.0.4,1078,75256,118
10.0.0.2,10.46.42.1,1128,3020312,110
10.46.42.1,10.0.0.2,3,206,110
10.46.42.1,10.0.0.2,1006,68308,108
10.0.0.4,10.46.42.1,2581,7100506,101
10.46.42.1,10.0.0.4,2,132,101
10.46.42.1,10.0.0.4,1291,87410,101
10.0.0.1,10.46.42.3,943,2488150,94
10.46.42.3,10.0.0.1,3,198,94
10.46.42.3,10.0.0.1,813,55566,94
10.0.0.3,10.46.42.1,2117,5623746,88
10.46.42.1,10.0.0.3,2,132,88
10.46.42.1,10.0.0.3,871,59314,88
10.0.0.2,10.123.123.123,3553,9592050,80
10.123.123.123,10.0.0.2,2,132,80
10.123.123.123,10.0.0.2,1390,95636,80
10.0.0.2,10.46.42.3,1281,3299786,71
10.46.42.3,10.0.0.2,2,132,71
10.46.42.3,10.0.0.2,1133,79170,71
10.123.123.123,10.0.0.1,3,206,63
10.123.123.123,10.0.0.1,873,59234,63
10.46.42.1,10.0.0.4,2,132,55
10.46.42.1,10.0.0.4,1014,68676,55
10.0.0.3,10.46.42.3,2131,5725590,47
10.46.42.3,10.0.0.3,2,132,46
10.46.42.3,10.0.0.3,1153,78778,46
10.123.123.123,10.0.0.2,4,280,37
10.123.123.123,10.0.0.2,843,57418,37
10.46.42.1,10.0.0.3,2,132,31
10.46.42.1,10.0.0.3,973,66106,31
10.46.42.1,10.0.0.1,2,132,24
10.46.42.1,10.0.0.1,960,65208,24
10.0.0.3,10.123.123.123,1043,2738070,17
10.123.123.123,10.0.0.3,2,132,17
10.123.123.123,10.0.0.3,908,61812,17
10.123.123.123,10.0.0.2,3,206,11
10.123.123.123,10.0.0.2,923,62574,10
10.46.42.3,10.0.0.3,2,132,4
10.46.42.3,10.0.0.3,738,50140,4
N/A,N/A,99,5694,134
