Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,133
10.46.42.1,10.0.0.1,2,132,133
10.46.42.1,10.0.0.1,797,54210,133
10.0.0.1,10.123.123.123,2141,5710074,126
10.123.123.123,10.0.0.1,2,132,126
10.123.123.123,10.0.0.1,1009,69102,126
10.0.0.4,10.123.123.123,1230,3255876,118
10.123.123.123,10.0.0.4,2,132,118
10.123.123.123,10.0.0.4,1095,76462,118
10.0.0.2,10.46.42.1,1121,3001026,110
10.46.42.1,10.0.0.2,3,206,110
10.46.42.1,10.0.0.2,1011,68674,108
10.0.0.4,10.46.42.1,2559,7035342,101
10.46.42.1,10.0.0.4,2,132,101
10.46.42.1,10.0.0.4,1305,88370,101
10.0.0.1,10.46.42.3,930,2453988,94
10.46.42.3,10.0.0.1,3,198,94
10.46.42.3,10.0.0.1,820,56040,94
10.0.0.3,10.46.42.1,2095,5567270,88
10.46.42.1,10.0.0.3,2,132,88
10.46.42.1,10.0.0.3,883,60142,88
10.0.0.2,10.123.123.123,3520,9501544,80
10.123.123.123,10.0.0.2,2,132,80
10.123.123.123,10.0.0.2,1404,96592,80
10.0.0.2,10.46.42.3,1269,3270034,71
10.46.42.3,10.0.0.2,2,132,71
10.46.42.3,10.0.0.2,1147,80094,71
10.123.123.123,10.0.0.1,3,206,63
10.123.123.123,10.0.0.1,882,59840,63
10.46.42.1,10.0.0.4,3,198,55
10.46.42.1,10.0.0.4,1023,69270,55
10.0.0.3,10.46.42.3,2104,5652848,46
10.46.42.3,10.0.0.3,2,132,46
10.46.42.3,10.0.0.3,1166,79648,46
10.123.123.123,10.0.0.2,4,280,40
10.123.123.123,10.0.0.2,852,58012,37
10.46.42.1,10.0.0.3,2,132,31
10.46.42.1,10.0.0.3,980,66568,31
10.46.42.1,10.0.0.1,2,132,24
10.46.42.1,10.0.0.1,975,66234,24
10.0.0.3,10.123.123.123,1035,2715822,17
10.123.123.123,10.0.0.3,2,132,17
10.123.123.123,10.0.0.3,916,62340,17
10.123.123.123,10.0.0.2,3,206,11
10.123.123.123,10.0.0.2,935,63390,10
10.46.42.3,10.0.0.3,2,132,4
10.46.42.3,10.0.0.3,744,50560,4
N/A,N/A,98,5652,134
