Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,203
10.46.42.1,10.0.0.1,2,132,203
10.46.42.1,10.0.0.1,797,54210,203
10.0.0.1,10.123.123.123,3298,8834412,196
10.123.123.123,10.0.0.1,2,132,196
10.123.123.123,10.0.0.1,1009,69102,196
10.0.0.4,10.123.123.123,2633,7171298,188
10.123.123.123,10.0.0.4,2,132,188
10.123.123.123,10.0.0.4,1095,76462,188
10.0.0.2,10.46.42.1,2137,5722850,180
10.46.42.1,10.0.0.2,3,206,180
10.46.42.1,10.0.0.2,1011,68674,178
10.0.0.4,10.46.42.1,3695,10153950,171
10.46.42.1,10.0.0.4,2,132,171
10.46.42.1,10.0.0.4,1305,88370,171
10.0.0.1,10.46.42.3,1732,4486048,164
10.46.42.3,10.0.0.1,3,198,164
10.46.42.3,10.0.0.1,820,56040,164
10.0.0.3,10.46.42.1,3095,8282238,158
10.46.42.1,10.0.0.3,2,132,158
10.46.42.1,10.0.0.3,883,60142,158
10.0.0.2,10.123.123.123,3520,9501544,150
10.123.123.123,10.0.0.2,2,132,150
10.123.123.123,10.0.0.2,1404,96592,150
10.0.0.2,10.46.42.3,2336,6120504,142
10.46.42.3,10.0.0.2,2,132,141
10.46.42.3,10.0.0.2,1147,80094,141
10.123.123.123,10.0.0.1,3,206,133
10.123.123.123,10.0.0.1,882,59840,133
10.46.42.1,10.0.0.4,3,198,125
10.46.42.1,10.0.0.4,1023,69270,125
10.0.0.3,10.46.42.3,2269,6098698,116
10.46.42.3,10.0.0.3,2,132,116
10.46.42.3,10.0.0.3,1166,79648,116
10.123.123.123,10.0.0.2,4,280,110
10.123.123.123,10.0.0.2,852,58012,107
10.46.42.1,10.0.0.3,2,132,101
10.46.42.1,10.0.0.3,980,66568,101
10.46.42.1,10.0.0.1,2,132,94
10.46.42.1,10.0.0.1,975,66234,94
10.0.0.3,10.123.123.123,1035,2715822,87
10.123.123.123,10.0.0.3,2,132,87
10.123.123.123,10.0.0.3,916,62340,87
10.123.123.123,10.0.0.2,3,206,81
10.123.123.123,10.0.0.2,935,63390,80
10.46.42.3,10.0.0.3,2,132,74
10.46.42.3,10.0.0.3,895,60790,74
10.0.0.4,10.46.42.3,1503,4061774,67
10.46.42.3,10.0.0.4,2,132,67
10.46.42.3,10.0.0.4,1402,95852,67
10.123.123.123,10.0.0.1,2,132,60
10.123.123.123,10.0.0.1,1024,69504,60
10.46.42.1,10.0.0.4,2,132,53
10.46.42.1,10.0.0.4,1022,69240,53
10.46.42.1,10.0.0.2,2,132,47
10.46.42.1,10.0.0.2,890,60396,46
10.46.42.3,10.0.0.2,3,198,37
10.46.42.3,10.0.0.2,944,63968,37
10.46.42.1,10.0.0.3,2,132,31
10.46.42.1,10.0.0.3,886,60140,31
10.123.123.123,10.0.0.4,2,132,24
10.123.123.123,10.0.0.4,1286,86852,24
10.46.42.3,10.0.0.1,2,132,17
10.46.42.3,10.0.0.1,682,46656,17
N/A,N/A,135,7782,204
