Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,53
10.46.42.1,10.0.0.1,2,132,53
10.46.42.1,10.0.0.1,797,54210,53
10.0.0.1,10.123.123.123,1128,2987000,46
10.123.123.123,10.0.0.1,2,132,46
10.123.123.123,10.0.0.1,1009,69102,46
10.0.0.4,10.123.123.123,1230,3255876,38
10.123.123.123,10.0.0.4,2,132,38
10.123.123.123,10.0.0.4,1095,76462,38
10.0.0.2,10.46.42.1,1121,3001026,30
10.46.42.1,10.0.0.2,3,206,30
10.46.42.1,10.0.0.2,1011,68674,28
10.0.0.4,10.46.42.1,1419,3916470,21
10.46.42.1,10.0.0.4,2,132,21
10.46.42.1,10.0.0.4,1305,88370,21
10.0.0.1,10.46.42.3,930,2453988,14
10.46.42.3,10.0.0.1,3,198,14
10.46.42.3,10.0.0.1,820,56040,14
10.0.0.3,10.46.42.1,991,2587638,8
10.46.42.1,10.0.0.3,2,132,8
10.46.42.1,10.0.0.3,883,60142,8
10.0.0.2,10.123.123.123,238,589124,0
10.123.123.123,10.0.0.2,2,132,0
10.123.123.123,10.0.0.2,218,16172,0
N/A,N/A,54,3036,54
