Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,163
10.46.42.1,10.0.0.1,2,132,163
10.46.42.1,10.0.0.1,789,53670,163
10.0.0.1,10.123.123.123,3331,8923470,156
10.123.123.123,10.0.0.1,2,132,156
10.123.123.123,10.0.0.1,1001,68574,156
10.0.0.4,10.123.123.123,1248,3297608,148
10.123.123.123,10.0.0.4,2,132,148
10.123.123.123,10.0.0.4,1078,75256,148
10.0.0.2,10.46.42.1,2153,5765010,140
10.46.42.1,10.0.0.2,3,206,140
10.46.42.1,10.0.0.2,1006,68308,138
10.0.0.4,10.46.42.1,3728,10247352,131
10.46.42.1,10.0.0.4,2,132,131
10.46.42.1,10.0.0.4,1291,87410,131
10.0.0.1,10.46.42.3,943,2488150,124
10.46.42.3,10.0.0.1,3,198,124
10.46.42.3,10.0.0.1,813,55566,124
10.0.0.3,10.46.42.1,2117,5623746,118
10.46.42.1,10.0.0.3,2,132,118
10.46.42.1,10.0.0.3,871,59314,118
10.0.0.2,10.123.123.123,3553,9592050,110
10.123.123.123,10.0.0.2,2,132,110
10.123.123.123,10.0.0.2,1390,95636,110
10.0.0.2,10.46.42.3,1281,3299786,102
10.46.42.3,10.0.0.2,2,132,101
10.46.42.3,10.0.0.2,1133,79170,101
10.123.123.123,10.0.0.1,3,206,93
10.123.123.123,10.0.0.1,873,59234,93
10.46.42.1,10.0.0.4,2,132,85
10.46.42.1,10.0.0.4,1014,68676,85
10.0.0.3,10.46.42.3,2297,6172954,77
10.46.42.3,10.0.0.3,2,132,76
10.46.42.3,10.0.0.3,1153,78778,76
10.123.123.123,10.0.0.2,4,280,67
10.123.123.123,10.0.0.2,843,57418,67
10.46.42.1,10.0.0.3,2,132,61
10.46.42.1,10.0.0.3,973,66106,61
10.46.42.1,10.0.0.1,2,132,54
10.46.42.1,10.0.0.1,960,65208,54
10.0.0.3,10.123.123.123,1043,2738070,47
10.123.123.123,10.0.0.3,2,132,47
10.123.123.123,10.0.0.3,908,61812,47
10.123.123.123,10.0.0.2,3,206,41
10.123.123.123,10.0.0.2,923,62574,40
10.46.42.3,10.0.0.3,2,132,34
10.46.42.3,10.0.0.3,886,60160,34
10.0.0.4,10.46.42.3,1518,4104756,27
10.46.42.3,10.0.0.4,2,132,27
10.46.42.3,10.0.0.4,1384,94652,27
10.123.123.123,10.0.0.1,2,132,20
10.123.123.123,10.0.0.1,1013,68754,20
10.46.42.1,10.0.0.4,2,132,13
10.46.42.1,10.0.0.4,1010,68412,12
10.46.42.1,10.0.0.2,2,132,7
10.46.42.1,10.0.0.2,882,59856,6
N/A,N/A,118,6780,164
