Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,173
10.46.42.1,10.0.0.1,2,132,173
10.46.42.1,10.0.0.1,797,54210,173
10.0.0.1,10.123.123.123,3298,8834412,166
10.123.123.123,10.0.0.1,2,132,166
10.123.123.123,10.0.0.1,1009,69102,166
10.0.0.4,10.123.123.123,1230,3255876,158
10.123.123.123,10.0.0.4,2,132,158
10.123.123.123,10.0.0.4,1095,76462,158
10.0.0.2,10.46.42.1,2137,5722850,150
10.46.42.1,10.0.0.2,3,206,150
10.46.42.1,10.0.0.2,1011,68674,148
10.0.0.4,10.46.42.1,3695,10153950,141
10.46.42.1,10.0.0.4,2,132,141
10.46.42.1,10.0.0.4,1305,88370,141
10.0.0.1,10.46.42.3,930,2453988,134
10.46.42.3,10.0.0.1,3,198,134
10.46.42.3,10.0.0.1,820,56040,134
10.0.0.3,10.46.42.1,2309,6153370,128
10.46.42.1,10.0.0.3,2,132,128
10.46.42.1,10.0.0.3,883,60142,128
10.0.0.2,10.123.123.123,3520,9501544,120
10.123.123.123,10.0.0.2,2,132,120
10.123.123.123,10.0.0.2,1404,96592,120
10.0.0.2,10.46.42.3,2336,6120504,111
10.46.42.3,10.0.0.2,2,132,111
10.46.42.3,10.0.0.2,1147,80094,111
10.123.123.123,10.0.0.1,3,206,103
10.123.123.123,10.0.0.1,882,59840,103
10.46.42.1,10.0.0.4,3,198,95
10.46.42.1,10.0.0.4,1023,69270,95
10.0.0.3,10.46.42.3,2269,6098698,86
10.46.42.3,10.0.0.3,2,132,86
10.46.42.3,10.0.0.3,1166,79648,86
10.123.123.123,10.0.0.2,4,280,80
10.123.123.123,10.0.0.2,852,58012,77
10.46.42.1,10.0.0.3,2,132,71
10.46.42.1,10.0.0.3,980,66568,71
10.46.42.1,10.0.0.1,2,132,64
10.46.42.1,10.0.0.1,975,66234,64
10.0.0.3,10.123.123.123,1035,2715822,57
10.123.123.123,10.0.0.3,2,132,57
10.123.123.123,10.0.0.3,916,62340,57
10.123.123.123,10.0.0.2,3,206,51
10.123.123.123,10.0.0.2,935,63390,50
10.46.42.3,10.0.0.3,2,132,44
10.46.42.3,10.0.0.3,895,60790,44
10.0.0.4,10.46.42.3,1503,4061774,37
10.46.42.3,10.0.0.4,2,132,37
10.46.42.3,10.0.0.4,1402,95852,37
10.123.123.123,10.0.0.1,2,132,30
10.123.123.123,10.0.0.1,1024,69504,30
10.46.42.1,10.0.0.4,2,132,23
10.46.42.1,10.0.0.4,1022,69240,23
10.46.42.1,10.0.0.2,2,132,17
10.46.42.1,10.0.0.2,890,60396,16
10.46.42.3,10.0.0.2,3,198,7
10.46.42.3,10.0.0.2,944,63968,7
10.46.42.1,10.0.0.3,2,132,1
10.46.42.1,10.0.0.3,192,12996,1
N/A,N/A,122,7108,174
