Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,203
10.46.42.1,10.0.0.1,2,132,203
10.46.42.1,10.0.0.1,789,53670,203
10.0.0.1,10.123.123.123,3331,8923470,196
10.123.123.123,10.0.0.1,2,132,196
10.123.123.123,10.0.0.1,1001,68574,196
10.0.0.4,10.123.123.123,2661,7238306,188
10.123.123.123,10.0.0.4,2,132,188
10.123.123.123,10.0.0.4,1078,75256,188
10.0.0.2,10.46.42.1,2153,5765010,180
10.46.42.1,10.0.0.2,3,206,180
10.46.42.1,10.0.0.2,1006,68308,178
10.0.0.4,10.46.42.1,3728,10247352,171
10.46.42.1,10.0.0.4,2,132,171
10.46.42.1,10.0.0.4,1291,87410,171
10.0.0.1,10.46.42.3,1750,4533572,164
10.46.42.3,10.0.0.1,3,198,164
10.46.42.3,10.0.0.1,813,55566,164
10.0.0.3,10.46.42.1,3127,8366886,158
10.46.42.1,10.0.0.3,2,132,158
10.46.42.1,10.0.0.3,871,59314,158
10.0.0.2,10.123.123.123,3553,9592050,150
10.123.123.123,10.0.0.2,2,132,150
10.123.123.123,10.0.0.2,1390,95636,150
10.0.0.2,10.46.42.3,2357,6169674,142
10.46.42.3,10.0.0.2,2,132,141
10.46.42.3,10.0.0.2,1133,79170,141
10.123.123.123,10.0.0.1,3,206,133
10.123.123.123,10.0.0.1,873,59234,133
10.46.42.1,10.0.0.4,2,132,125
10.46.42.1,10.0.0.4,1014,68676,125
10.0.0.3,10.46.42.3,2297,6172954,117
10.46.42.3,10.0.0.3,2,132,116
10.46.42.3,10.0.0.3,1153,78778,116
10.123.123.123,10.0.0.2,4,280,107
10.123.123.123,10.0.0.2,843,57418,107
10.46.42.1,10.0.0.3,2,132,101
10.46.42.1,10.0.0.3,973,66106,101
10.46.42.1,10.0.0.1,2,132,94
10.46.42.1,10.0.0.1,960,65208,94
10.0.0.3,10.123.123.123,1043,2738070,87
10.123.123.123,10.0.0.3,2,132,87
10.123.123.123,10.0.0.3,908,61812,87
10.123.123.123,10.0.0.2,3,206,81
10.123.123.123,10.0.0.2,923,62574,80
10.46.42.3,10.0.0.3,2,132,74
10.46.42.3,10.0.0.3,886,60160,74
10.0.0.4,10.46.42.3,1518,4104756,67
10.46.42.3,10.0.0.4,2,132,67
10.46.42.3,10.0.0.4,1384,94652,67
10.123.123.123,10.0.0.1,2,132,60
10.123.123.123,10.0.0.1,1013,68754,60
10.46.42.1,10.0.0.4,2,132,53
10.46.42.1,10.0.0.4,1010,68412,53
10.46.42.1,10.0.0.2,2,132,47
10.46.42.1,10.0.0.2,882,59856,46
10.46.42.3,10.0.0.2,4,272,37
10.46.42.3,10.0.0.2,931,63074,37
10.46.42.1,10.0.0.3,2,132,31
10.46.42.1,10.0.0.3,881,59786,31
10.123.123.123,10.0.0.4,2,132,24
10.123.123.123,10.0.0.4,1275,86114,24
10.46.42.3,10.0.0.1,2,132,17
10.46.42.3,10.0.0.1,675,46182,17
N/A,N/A,136,7792,204
