Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,143
10.46.42.1,10.0.0.1,2,132,143
10.46.42.1,10.0.0.1,789,53670,143
10.0.0.1,10.123.123.123,2168,5771240,136
10.123.123.123,10.0.0.1,2,132,136
10.123.123.123,10.0.0.1,1001,68574,136
10.0.0.4,10.123.123.123,1248,3297608,128
10.123.123.123,10.0.0.4,2,132,128
10.123.123.123,10.0.0.4,1078,75256,128
10.0.0.2,10.46.42.1,1128,3020312,120
10.46.42.1,10.0.0.2,3,206,120
10.46.42.1,10.0.0.2,1006,68308,118
10.0.0.4,10.46.42.1,2581,7100506,111
10.46.42.1,10.0.0.4,2,132,111
10.46.42.1,10.0.0.4,1291,87410,111
10.0.0.1,10.46.42.3,943,2488150,104
10.46.42.3,10.0.0.1,3,198,104
10.46.42.3,10.0.0.1,813,55566,104
10.0.0.3,10.46.42.1,2117,5623746,98
10.46.42.1,10.0.0.3,2,132,98
10.46.42.1,10.0.0.3,871,59314,98
10.0.0.2,10.123.123.123,3553,9592050,90
10.123.123.123,10.0.0.2,2,132,90
10.123.123.123,10.0.0.2,1390,95636,90
10.0.0.2,10.46.42.3,1281,3299786,81
10.46.42.3,10.0.0.2,2,132,81
10.46.42.3,10.0.0.2,1133,79170,81
10.123.123.123,10.0.0.1,3,206,73
10.123.123.123,10.0.0.1,873,59234,73
10.46.42.1,10.0.0.4,2,132,65
10.46.42.1,10.0.0.4,1014,68676,65
10.0.0.3,10.46.42.3,2297,6172954,57
10.46.42.3,10.0.0.3,2,132,56
10.46.42.3,10.0.0.3,1153,78778,56
10.123.123.123,10.0.0.2,4,280,47
10.123.123.123,10.0.0.2,843,57418,47
10.46.42.1,10.0.0.3,2,132,41
10.46.42.1,10.0.0.3,973,66106,41
10.46.42.1,10.0.0.1,2,132,34
10.46.42.1,10.0.0.1,960,65208,34
10.0.0.3,10.123.123.123,1043,2738070,27
10.123.123.123,10.0.0.3,2,132,27
10.123.123.123,10.0.0.3,908,61812,27
10.123.123.123,10.0.0.2,3,206,21
10.123.123.123,10.0.0.2,923,62574,20
10.46.42.3,10.0.0.3,2,132,14
10.46.42.3,10.0.0.3,886,60160,14
10.0.0.4,10.46.42.3,1518,4104756,7
10.46.42.3,10.0.0.4,2,132,7
10.46.42.3,10.0.0.4,1384,94652,7
10.123.123.123,10.0.0.1,1,66,0
10.123.123.123,10.0.0.1,1,66,0
N/A,N/A,112,6400,144
