Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,73
10.46.42.1,10.0.0.1,2,132,73
10.46.42.1,10.0.0.1,789,53670,73
10.0.0.1,10.123.123.123,1692,4496864,66
10.123.123.123,10.0.0.1,2,132,66
10.123.123.123,10.0.0.1,1001,68574,66
10.0.0.4,10.123.123.123,1248,3297608,58
10.123.123.123,10.0.0.4,2,132,58
10.123.123.123,10.0.0.4,1078,75256,58
10.0.0.2,10.46.42.1,1128,3020312,50
10.46.42.1,10.0.0.2,3,206,50
10.46.42.1,10.0.0.2,1006,68308,48
10.0.0.4,10.46.42.1,1430,3949052,41
10.46.42.1,10.0.0.4,2,132,41
10.46.42.1,10.0.0.4,1291,87410,41
10.0.0.1,10.46.42.3,943,2488150,34
10.46.42.3,10.0.0.1,3,198,34
10.46.42.3,10.0.0.1,813,55566,34
10.0.0.3,10.46.42.1,1000,2611400,28
10.46.42.1,10.0.0.3,2,132,28
10.46.42.1,10.0.0.3,871,59314,28
10.0.0.2,10.123.123.123,1525,4118250,20
10.123.123.123,10.0.0.2,2,132,20
10.123.123.123,10.0.0.2,1390,95636,20
10.0.0.2,10.46.42.3,1281,3299786,11
10.46.42.3,10.0.0.2,2,132,11
10.46.42.3,10.0.0.2,1133,79170,11
10.123.123.123,10.0.0.1,3,206,3
10.123.123.123,10.0.0.1,465,31510,3
N/A,N/A,64,3616,74
