Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,193
10.46.42.1,10.0.0.1,2,132,193
10.46.42.1,10.0.0.1,797,54210,193
10.0.0.1,10.123.123.123,3298,8834412,186
10.123.123.123,10.0.0.1,2,132,186
10.123.123.123,10.0.0.1,1009,69102,186
10.0.0.4,10.123.123.123,2633,7171298,178
10.123.123.123,10.0.0.4,2,132,178
10.123.123.123,10.0.0.4,1095,76462,178
10.0.0.2,10.46.42.1,2137,5722850,170
10.46.42.1,10.0.0.2,3,206,170
10.46.42.1,10.0.0.2,1011,68674,168
10.0.0.4,10.46.42.1,3695,10153950,161
10.46.42.1,10.0.0.4,2,132,161
10.46.42.1,10.0.0.4,1305,88370,161
10.0.0.1,10.46.42.3,1732,4486048,154
10.46.42.3,10.0.0.1,3,198,154
10.46.42.3,10.0.0.1,820,56040,154
10.0.0.3,10.46.42.1,3095,8282238,148
10.46.42.1,10.0.0.3,2,132,148
10.46.42.1,10.0.0.3,883,60142,148
10.0.0.2,10.123.123.123,3520,9501544,140
10.123.123.123,10.0.0.2,2,132,140
10.123.123.123,10.0.0.2,1404,96592,140
10.0.0.2,10.46.42.3,2336,6120504,132
10.46.42.3,10.0.0.2,2,132,131
10.46.42.3,10.0.0.2,1147,80094,131
10.123.123.123,10.0.0.1,3,206,123
10.123.123.123,10.0.0.1,882,59840,123
10.46.42.1,10.0.0.4,3,198,115
10.46.42.1,10.0.0.4,1023,69270,115
10.0.0.3,10.46.42.3,2269,6098698,106
10.46.42.3,10.0.0.3,2,132,106
10.46.42.3,10.0.0.3,1166,79648,106
10.123.123.123,10.0.0.2,4,280,100
10.123.123.123,10.0.0.2,852,58012,97
10.46.42.1,10.0.0.3,2,132,91
10.46.42.1,10.0.0.3,980,66568,91
10.46.42.1,10.0.0.1,2,132,84
10.46.42.1,10.0.0.1,975,66234,84
10.0.0.3,10.123.123.123,1035,2715822,77
10.123.123.123,10.0.0.3,2,132,77
10.123.123.123,10.0.0.3,916,62340,77
10.123.123.123,10.0.0.2,3,206,71
10.123.123.123,10.0.0.2,935,63390,70
10.46.42.3,10.0.0.3,2,132,64
10.46.42.3,10.0.0.3,895,60790,64
10.0.0.4,10.46.42.3,1503,4061774,57
10.46.42.3,10.0.0.4,2,132,57
10.46.42.3,10.0.0.4,1402,95852,57
10.123.123.123,10.0.0.1,2,132,50
10.123.123.123,10.0.0.1,1024,69504,50
10.46.42.1,10.0.0.4,2,132,43
10.46.42.1,10.0.0.4,1022,69240,43
10.46.42.1,10.0.0.2,2,132,37
10.46.42.1,10.0.0.2,890,60396,36
10.46.42.3,10.0.0.2,3,198,27
10.46.42.3,10.0.0.2,944,63968,27
10.46.42.1,10.0.0.3,2,132,21
10.46.42.1,10.0.0.3,886,60140,21
10.123.123.123,10.0.0.4,2,132,14
10.123.123.123,10.0.0.4,1286,86852,14
10.46.42.3,10.0.0.1,2,132,7
10.46.42.3,10.0.0.1,682,46656,7
N/A,N/A,135,7782,194
