Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,934,2490452,103
10.46.42.1,10.0.0.1,2,132,103
10.46.42.1,10.0.0.1,789,53670,103
10.0.0.1,10.123.123.123,2164,5770960,96
10.123.123.123,10.0.0.1,2,132,96
10.123.123.123,10.0.0.1,1001,68574,96
10.0.0.4,10.123.123.123,1248,3297608,88
10.123.123.123,10.0.0.4,2,132,88
10.123.123.123,10.0.0.4,1078,75256,88
10.0.0.2,10.46.42.1,1128,3020312,80
10.46.42.1,10.0.0.2,3,206,80
10.46.42.1,10.0.0.2,1006,68308,78
10.0.0.4,10.46.42.1,2581,7100506,71
10.46.42.1,10.0.0.4,2,132,71
10.46.42.1,10.0.0.4,1291,87410,71
10.0.0.1,10.46.42.3,943,2488150,64
10.46.42.3,10.0.0.1,3,198,64
10.46.42.3,10.0.0.1,813,55566,64
10.0.0.3,10.46.42.1,1283,3341062,58
10.46.42.1,10.0.0.3,2,132,58
10.46.42.1,10.0.0.3,871,59314,58
10.0.0.2,10.123.123.123,2499,6722166,50
10.123.123.123,10.0.0.2,2,132,50
10.123.123.123,10.0.0.2,1390,95636,50
10.0.0.2,10.46.42.3,1281,3299786,41
10.46.42.3,10.0.0.2,2,132,41
10.46.42.3,10.0.0.2,1133,79170,41
10.123.123.123,10.0.0.1,3,206,33
10.123.123.123,10.0.0.1,873,59234,33
10.46.42.1,10.0.0.4,2,132,25
10.46.42.1,10.0.0.4,1014,68676,25
10.0.0.3,10.46.42.3,1277,3427706,17
10.46.42.3,10.0.0.3,2,132,16
10.46.42.3,10.0.0.3,1153,78778,16
10.123.123.123,10.0.0.2,4,280,7
10.123.123.123,10.0.0.2,842,57352,7
10.46.42.1,10.0.0.3,2,132,1
10.46.42.1,10.0.0.3,232,15916,1
N/A,N/A,78,4524,104
