Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,143
10.46.42.1,10.0.0.1,2,132,143
10.46.42.1,10.0.0.1,797,54210,143
10.0.0.1,10.123.123.123,2145,5710354,136
10.123.123.123,10.0.0.1,2,132,136
10.123.123.123,10.0.0.1,1009,69102,136
10.0.0.4,10.123.123.123,1230,3255876,128
10.123.123.123,10.0.0.4,2,132,128
10.123.123.123,10.0.0.4,1095,76462,128
10.0.0.2,10.46.42.1,1121,3001026,120
10.46.42.1,10.0.0.2,3,206,120
10.46.42.1,10.0.0.2,1011,68674,118
10.0.0.4,10.46.42.1,2559,7035342,111
10.46.42.1,10.0.0.4,2,132,111
10.46.42.1,10.0.0.4,1305,88370,111
10.0.0.1,10.46.42.3,930,2453988,104
10.46.42.3,10.0.0.1,3,198,104
10.46.42.3,10.0.0.1,820,56040,104
10.0.0.3,10.46.42.1,2095,5567270,98
10.46.42.1,10.0.0.3,2,132,98
10.46.42.1,10.0.0.3,883,60142,98
10.0.0.2,10.123.123.123,3520,9501544,90
10.123.123.123,10.0.0.2,2,132,90
10.123.123.123,10.0.0.2,1404,96592,90
10.0.0.2,10.46.42.3,1269,3270034,81
10.46.42.3,10.0.0.2,2,132,81
10.46.42.3,10.0.0.2,1147,80094,81
10.123.123.123,10.0.0.1,3,206,73
10.123.123.123,10.0.0.1,882,59840,73
10.46.42.1,10.0.0.4,3,198,65
10.46.42.1,10.0.0.4,1023,69270,65
10.0.0.3,10.46.42.3,2269,6098698,56
10.46.42.3,10.0.0.3,2,132,56
10.46.42.3,10.0.0.3,1166,79648,56
10.123.123.123,10.0.0.2,4,280,50
10.123.123.123,10.0.0.2,852,58012,47
10.46.42.1,10.0.0.3,2,132,41
10.46.42.1,10.0.0.3,980,66568,41
10.46.42.1,10.0.0.1,2,132,34
10.46.42.1,10.0.0.1,975,66234,34
10.0.0.3,10.123.123.123,1035,2715822,27
10.123.123.123,10.0.0.3,2,132,27
10.123.123.123,10.0.0.3,916,62340,27
10.123.123.123,10.0.0.2,3,206,21
10.123.123.123,10.0.0.2,935,63390,20
10.46.42.3,10.0.0.3,2,132,14
10.46.42.3,10.0.0.3,895,60790,14
10.0.0.4,10.46.42.3,1503,4061774,7
10.46.42.3,10.0.0.4,2,132,7
10.46.42.3,10.0.0.4,1402,95852,7
10.123.123.123,10.0.0.1,1,66,0
10.123.123.123,10.0.0.1,1,66,0
N/A,N/A,111,6358,144
