Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,173
10.46.42.1,10.0.0.1,2,132,173
10.46.42.1,10.0.0.1,789,53670,173
10.0.0.1,10.123.123.123,3331,8923470,166
10.123.123.123,10.0.0.1,2,132,166
10.123.123.123,10.0.0.1,1001,68574,166
10.0.0.4,10.123.123.123,1248,3297608,158
10.123.123.123,10.0.0.4,2,132,158
10.123.123.123,10.0.0.4,1078,75256,158
10.0.0.2,10.46.42.1,2153,5765010,150
10.46.42.1,10.0.0.2,3,206,150
10.46.42.1,10.0.0.2,1006,68308,148
10.0.0.4,10.46.42.1,3728,10247352,141
10.46.42.1,10.0.0.4,2,132,141
10.46.42.1,10.0.0.4,1291,87410,141
10.0.0.1,10.46.42.3,943,2488150,134
10.46.42.3,10.0.0.1,3,198,134
10.46.42.3,10.0.0.1,813,55566,134
10.0.0.3,10.46.42.1,2332,6212808,128
10.46.42.1,10.0.0.3,2,132,128
10.46.42.1,10.0.0.3,871,59314,128
10.0.0.2,10.123.123.123,3553,9592050,120
10.123.123.123,10.0.0.2,2,132,120
10.123.123.123,10.0.0.2,1390,95636,120
10.0.0.2,10.46.42.3,2357,6169674,112
10.46.42.3,10.0.0.2,2,132,111
10.46.42.3,10.0.0.2,1133,79170,111
10.123.123.123,10.0.0.1,3,206,103
10.123.123.123,10.0.0.1,873,59234,103
10.46.42.1,10.0.0.4,2,132,95
10.46.42.1,10.0.0.4,1014,68676,95
10.0.0.3,10.46.42.3,2297,6172954,87
10.46.42.3,10.0.0.3,2,132,86
10.46.42.3,10.0.0.3,1153,78778,86
10.123.123.123,10.0.0.2,4,280,77
10.123.123.123,10.0.0.2,843,57418,77
10.46.42.1,10.0.0.3,2,132,71
10.46.42.1,10.0.0.3,973,66106,71
10.46.42.1,10.0.0.1,2,132,64
10.46.42.1,10.0.0.1,960,65208,64
10.0.0.3,10.123.123.123,1043,2738070,57
10.123.123.123,10.0.0.3,2,132,57
10.123.123.123,10.0.0.3,908,61812,57
10.123.123.123,10.0.0.2,3,206,51
10.123.123.123,10.0.0.2,923,62574,50
10.46.42.3,10.0.0.3,2,132,44
10.46.42.3,10.0.0.3,886,60160,44
10.0.0.4,10.46.42.3,1518,4104756,37
10.46.42.3,10.0.0.4,2,132,37
10.46.42.3,10.0.0.4,1384,94652,37
10.123.123.123,10.0.0.1,2,132,30
10.123.123.123,10.0.0.1,1013,68754,30
10.46.42.1,10.0.0.4,2,132,23
10.46.42.1,10.0.0.4,1010,68412,22
10.46.42.1,10.0.0.2,2,132,17
10.46.42.1,10.0.0.2,882,59856,16
10.46.42.3,10.0.0.2,4,272,7
10.46.42.3,10.0.0.2,931,63074,7
10.46.42.1,10.0.0.3,2,132,1
10.46.42.1,10.0.0.3,192,12996,1
N/A,N/A,122,7076,174
