Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,73
10.46.42.1,10.0.0.1,2,132,73
10.46.42.1,10.0.0.1,797,54210,73
10.0.0.1,10.123.123.123,1673,4447826,66
10.123.123.123,10.0.0.1,2,132,66
10.123.123.123,10.0.0.1,1009,69102,66
10.0.0.4,10.123.123.123,1230,3255876,58
10.123.123.123,10.0.0.4,2,132,58
10.123.123.123,10.0.0.4,1095,76462,58
10.0.0.2,10.46.42.1,1121,3001026,50
10.46.42.1,10.0.0.2,3,206,50
10.46.42.1,10.0.0.2,1011,68674,48
10.0.0.4,10.46.42.1,1419,3916470,41
10.46.42.1,10.0.0.4,2,132,41
10.46.42.1,10.0.0.4,1305,88370,41
10.0.0.1,10.46.42.3,930,2453988,34
10.46.42.3,10.0.0.1,3,198,34
10.46.42.3,10.0.0.1,820,56040,34
10.0.0.3,10.46.42.1,991,2587638,28
10.46.42.1,10.0.0.3,2,132,28
10.46.42.1,10.0.0.3,883,60142,28
10.0.0.2,10.123.123.123,1509,4072306,20
10.123.123.123,10.0.0.2,2,132,20
10.123.123.123,10.0.0.2,1404,96592,20
10.0.0.2,10.46.42.3,1269,3270034,11
10.46.42.3,10.0.0.2,2,132,11
10.46.42.3,10.0.0.2,1147,80094,11
10.123.123.123,10.0.0.1,3,206,3
10.123.123.123,10.0.0.1,472,31984,3
N/A,N/A,64,3616,74
