Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2036,5445336,163
10.46.42.1,10.0.0.1,2,132,163
10.46.42.1,10.0.0.1,797,54210,163
10.0.0.1,10.123.123.123,3298,8834412,156
10.123.123.123,10.0.0.1,2,132,156
10.123.123.123,10.0.0.1,1009,69102,156
10.0.0.4,10.123.123.123,1230,3255876,148
10.123.123.123,10.0.0.4,2,132,148
10.123.123.123,10.0.0.4,1095,76462,148
10.0.0.2,10.46.42.1,2137,5722850,140
10.46.42.1,10.0.0.2,3,206,140
10.46.42.1,10.0.0.2,1011,68674,138
10.0.0.4,10.46.42.1,3695,10153950,131
10.46.42.1,10.0.0.4,2,132,131
10.46.42.1,10.0.0.4,1305,88370,131
10.0.0.1,10.46.42.3,930,2453988,124
10.46.42.3,10.0.0.1,3,198,124
10.46.42.3,10.0.0.1,820,56040,124
10.0.0.3,10.46.42.1,2095,5567270,118
10.46.42.1,10.0.0.3,2,132,118
10.46.42.1,10.0.0.3,883,60142,118
10.0.0.2,10.123.123.123,3520,9501544,110
10.123.123.123,10.0.0.2,2,132,110
10.123.123.123,10.0.0.2,1404,96592,110
10.0.0.2,10.46.42.3,1269,3270034,101
10.46.42.3,10.0.0.2,2,132,101
10.46.42.3,10.0.0.2,1147,80094,101
10.123.123.123,10.0.0.1,3,206,93
10.123.123.123,10.0.0.1,882,59840,93
10.46.42.1,10.0.0.4,3,198,85
10.46.42.1,10.0.0.4,1023,69270,85
10.0.0.3,10.46.42.3,2269,6098698,76
10.46.42.3,10.0.0.3,2,132,76
10.46.42.3,10.0.0.3,1166,79648,76
10.123.123.123,10.0.0.2,4,280,70
10.123.123.123,10.0.0.2,852,58012,67
10.46.42.1,10.0.0.3,2,132,61
10.46.42.1,10.0.0.3,980,66568,61
10.46.42.1,10.0.0.1,2,132,54
10.46.42.1,10.0.0.1,975,66234,54
10.0.0.3,10.123.123.123,1035,2715822,47
10.123.123.123,10.0.0.3,2,132,47
10.123.123.123,10.0.0.3,916,62340,47
10.123.123.123,10.0.0.2,3,206,41
10.123.123.123,10.0.0.2,935,63390,40
10.46.42.3,10.0.0.3,2,132,34
10.46.42.3,10.0.0.3,895,60790,34
10.0.0.4,10.46.42.3,1503,4061774,27
10.46.42.3,10.0.0.4,2,132,27
10.46.42.3,10.0.0.4,1402,95852,27
10.123.123.123,10.0.0.1,2,132,20
10.123.123.123,10.0.0.1,1024,69504,20
10.46.42.1,10.0.0.4,2,132,13
10.46.42.1,10.0.0.4,1022,69240,13
10.46.42.1,10.0.0.2,2,132,7
10.46.42.1,10.0.0.2,890,60396,6
N/A,N/A,117,6738,164
