Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,93
10.46.42.1,10.0.0.1,2,132,93
10.46.42.1,10.0.0.1,797,54210,93
10.0.0.1,10.123.123.123,2141,5710074,86
10.123.123.123,10.0.0.1,2,132,86
10.123.123.123,10.0.0.1,1009,69102,86
10.0.0.4,10.123.123.123,1230,3255876,78
10.123.123.123,10.0.0.4,2,132,78
10.123.123.123,10.0.0.4,1095,76462,78
10.0.0.2,10.46.42.1,1121,3001026,70
10.46.42.1,10.0.0.2,3,206,70
10.46.42.1,10.0.0.2,1011,68674,68
10.0.0.4,10.46.42.1,2559,7035342,61
10.46.42.1,10.0.0.4,2,132,61
10.46.42.1,10.0.0.4,1305,88370,61
10.0.0.1,10.46.42.3,930,2453988,54
10.46.42.3,10.0.0.1,3,198,54
10.46.42.3,10.0.0.1,820,56040,54
10.0.0.3,10.46.42.1,991,2587638,48
10.46.42.1,10.0.0.3,2,132,48
10.46.42.1,10.0.0.3,883,60142,48
10.0.0.2,10.123.123.123,1510,4072380,40
10.123.123.123,10.0.0.2,2,132,40
10.123.123.123,10.0.0.2,1404,96592,40
10.0.0.2,10.46.42.3,1269,3270034,31
10.46.42.3,10.0.0.2,2,132,31
10.46.42.3,10.0.0.2,1147,80094,31
10.123.123.123,10.0.0.1,3,206,23
10.123.123.123,10.0.0.1,882,59840,23
10.46.42.1,10.0.0.4,3,198,15
10.46.42.1,10.0.0.4,1023,69270,15
10.0.0.3,10.46.42.3,1260,3383136,6
10.46.42.3,10.0.0.3,2,132,6
10.46.42.3,10.0.0.3,1166,79648,6
10.123.123.123,10.0.0.2,0,0,0
N/A,N/A,74,4228,94
