Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,2058,5506156,183
10.46.42.1,10.0.0.1,2,132,183
10.46.42.1,10.0.0.1,789,53670,183
10.0.0.1,10.123.123.123,3331,8923470,176
10.123.123.123,10.0.0.1,2,132,176
10.123.123.123,10.0.0.1,1001,68574,176
10.0.0.4,10.123.123.123,2452,6675632,168
10.123.123.123,10.0.0.4,2,132,168
10.123.123.123,10.0.0.4,1078,75256,168
10.0.0.2,10.46.42.1,2153,5765010,160
10.46.42.1,10.0.0.2,3,206,160
10.46.42.1,10.0.0.2,1006,68308,158
10.0.0.4,10.46.42.1,3728,10247352,151
10.46.42.1,10.0.0.4,2,132,151
10.46.42.1,10.0.0.4,1291,87410,151
10.0.0.1,10.46.42.3,943,2488150,144
10.46.42.3,10.0.0.1,3,198,144
10.46.42.3,10.0.0.1,813,55566,144
10.0.0.3,10.46.42.1,3127,8366886,138
10.46.42.1,10.0.0.3,2,132,138
10.46.42.1,10.0.0.3,871,59314,138
10.0.0.2,10.123.123.123,3553,9592050,130
10.123.123.123,10.0.0.2,2,132,130
10.123.123.123,10.0.0.2,1390,95636,130
10.0.0.2,10.46.42.3,2357,6169674,122
10.46.42.3,10.0.0.2,2,132,121
10.46.42.3,10.0.0.2,1133,79170,121
10.123.123.123,10.0.0.1,3,206,113
10.123.123.123,10.0.0.1,873,59234,113
10.46.42.1,10.0.0.4,2,132,105
10.46.42.1,10.0.0.4,1014,68676,105
10.0.0.3,10.46.42.3,2297,6172954,97
10.46.42.3,10.0.0.3,2,132,96
10.46.42.3,10.0.0.3,1153,78778,96
10.123.123.123,10.0.0.2,4,280,87
10.123.123.123,10.0.0.2,843,57418,87
10.46.42.1,10.0.0.3,2,132,81
10.46.42.1,10.0.0.3,973,66106,81
10.46.42.1,10.0.0.1,2,132,74
10.46.42.1,10.0.0.1,960,65208,74
10.0.0.3,10.123.123.123,1043,2738070,67
10.123.123.123,10.0.0.3,2,132,67
10.123.123.123,10.0.0.3,908,61812,67
10.123.123.123,10.0.0.2,3,206,61
10.123.123.123,10.0.0.2,923,62574,60
10.46.42.3,10.0.0.3,2,132,54
10.46.42.3,10.0.0.3,886,60160,54
10.0.0.4,10.46.42.3,1518,4104756,47
10.46.42.3,10.0.0.4,2,132,47
10.46.42.3,10.0.0.4,1384,94652,47
10.123.123.123,10.0.0.1,2,132,40
10.123.123.123,10.0.0.1,1013,68754,40
10.46.42.1,10.0.0.4,2,132,33
10.46.42.1,10.0.0.4,1010,68412,33
10.46.42.1,10.0.0.2,2,132,27
10.46.42.1,10.0.0.2,882,59856,26
10.46.42.3,10.0.0.2,4,272,17
10.46.42.3,10.0.0.2,931,63074,17
10.46.42.1,10.0.0.3,2,132,11
10.46.42.1,10.0.0.3,881,59786,11
10.123.123.123,10.0.0.4,2,132,4
10.123.123.123,10.0.0.4,1096,73820,4
N/A,N/A,128,7392,184
